"Path","ImportsAndroidLog","HasLogCalls","HasFileLogger","LogCalls","FileLoggerCalls"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/model/QuickButton.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/model/Thing.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/model/UserConfig.java","False","True","False","6","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/network/NetworkClient.java","True","True","False","6","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/PinfoActivity.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/ButPhp.java","True","True","False","7","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/CastleJs.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/ChListJs.java","True","True","False","3","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/ChMsgJs.java","True","True","False","1","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/CounterJs.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/Date.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/FightAuto.java","True","True","True","45","42"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/FightJs.java","True","True","False","1","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/Filter.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/FishAjaxPhp.java","True","True","True","100","49"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/GameJs.java","True","True","False","2","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/GamePhp.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/HpJs.java","True","True","False","2","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/HpmpJs.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/IndexCgi.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/InventoryParser.java","True","True","True","2","2"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/MainPhp.java","True","True","True","185","156"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/MainPhpCityNavigation.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/MapActAjaxPhp.java","True","True","False","7","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/MapAjax.java","True","True","True","42","32"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/MapJs.java","True","True","False","2","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/MsgPhp.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/ShopEntry.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/TeleportAjax.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/postfilter/TreasureDig.java","True","True","True","25","1"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/profile/ProfileManager.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/ProfileActivity.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/proxy/Cache.java","True","True","False","4","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/proxy/CookiesManager.java","False","True","False","5","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/proxy/DiskCacheManager.java","True","True","False","2","0"
